"longitude","latitude","landuse","mean_temp","mean_pres","site_id","MOCH","MOBL","LEWO","BBMW","Evergreen_forest","Open_shrub","Wood_sav","Sav","Grass","crop","urban"
-124.170443,40.488791,1,116.416664123535,127,2,0,0,0,0,1,0,0,0,0,0,0
-124.1406651,40.6920306,1,117.833335876465,98.4166641235352,6,0,0,0,0,1,0,0,0,0,0,0
-124.1274297,40.9310474,10,117.333335876465,98.6666641235352,7,0,0,0,0,0,0,0,0,1,0,0
-124.088901,40.8790655,13,118.333335876465,95.4166641235352,9,0,0,0,0,0,0,0,0,0,0,1
-123.9772797,40.3161846,1,90.5833358764648,154.66667175293,11,1,0,0,0,1,0,0,0,0,0,0
-123.965966,40.787206,1,99.6666641235352,135.91667175293,12,0,0,0,0,1,0,0,0,0,0,0
-123.983875,40.864584,8,121.666664123535,97.3333358764648,13,0,0,0,0,0,0,1,0,0,0,0
-123.985,40.872,1,121.5,97.4166641235352,14,0,0,0,0,1,0,0,0,0,0,0
-123.8181067,39.3542438,10,112.083335876465,85.6666641235352,15,0,0,0,0,0,0,0,0,1,0,0
-123.8028502,39.4519516,10,112.583335876465,86.4166641235352,16,0,0,0,0,0,0,0,0,1,0,0
-123.8042021,39.4727008,10,113.083335876465,86.5,17,0,0,0,0,0,0,0,0,1,0,0
-123.8080724,40.1147769,1,129.5,132.16667175293,19,0,0,0,0,1,0,0,0,0,0,0
-123.7760408,39.5231046,10,115.75,88.4166641235352,23,0,0,0,0,0,0,0,0,1,0,0
-123.7051255,40.8307718,1,69.5833358764648,125.75,24,1,0,0,0,1,0,0,0,0,0,0
-123.7323403,40.874162,1,69.75,126.666664123535,25,1,0,0,0,1,0,0,0,0,0,0
-123.6951113,39.0047903,12,118.916664123535,85,26,0,0,0,0,0,0,0,0,0,1,0
-123.6903721,40.7933515,1,61.9166679382324,127.75,27,1,0,0,0,1,0,0,0,0,0,0
-123.6303184,39.5054158,1,114,112.333335876465,28,0,0,0,0,1,0,0,0,0,0,0
-123.637302,40.641484,1,77.4166641235352,125,29,0,0,0,0,1,0,0,0,0,0,0
-123.6180702,40.8862649,1,122.25,107.166664123535,30,1,0,0,0,1,0,0,0,0,0,0
-123.633348,40.9468352,1,131.91667175293,102.416664123535,31,0,0,0,0,1,0,0,0,0,0,0
-123.5500145,40.7846358,1,127.916664123535,101.166664123535,32,0,0,0,0,1,0,0,0,0,0,0
-123.580214,40.892676,1,132.91667175293,100.25,33,0,0,0,0,1,0,0,0,0,0,0
-123.5513,41.309839,1,129.33332824707,117,34,0,0,0,0,1,0,0,0,0,0,0
-123.545385,40.331504,1,61.25,131.5,36,1,0,0,0,1,0,0,0,0,0,0
-123.5059404,40.4686617,8,92.25,118.166664123535,37,0,0,0,0,0,0,1,0,0,0,0
-123.505859,40.512318,1,60.0833320617676,126,38,0,0,0,0,1,0,0,0,0,0,0
-123.5072064,40.5265222,1,61.5,125.333335876465,39,0,0,0,0,1,0,0,0,0,0,0
-123.539202,40.581097,8,60.25,126,40,0,0,0,0,0,0,1,0,0,0,0
-123.536464,40.7199631,1,124.083335876465,103.083335876465,41,0,0,0,0,1,0,0,0,0,0,0
-123.5494995,40.7863255,1,122.5,103.5,42,0,0,0,0,1,0,0,0,0,0,0
-123.502666,41.100732,1,60,110.833335876465,43,0,0,0,0,1,0,0,0,0,0,0
-123.549559,41.310254,1,129.66667175293,116.5,44,0,0,0,0,1,0,0,0,0,0,0
-123.480835,38.726635,10,122.166664123535,83.75,45,0,0,0,0,0,0,0,0,1,0,0
-123.4661525,39.0742439,1,127.916664123535,85.0833358764648,46,0,0,0,0,1,0,0,0,0,0,0
-123.4911489,40.0271538,8,131.75,113.333335876465,47,0,0,0,0,0,0,1,0,0,0,0
-123.4690566,40.1549983,1,93.3333358764648,121.25,48,0,0,0,0,1,0,0,0,0,0,0
-123.4643555,40.4019934,1,109.416664123535,113.5,49,0,0,0,0,1,0,0,0,0,0,0
-123.4964176,40.5012571,1,60.75,125.75,50,0,0,0,0,1,0,0,0,0,0,0
-123.4742689,40.6410365,8,130,97.6666641235352,51,0,0,0,0,0,0,1,0,0,0,0
-123.4882486,40.9549141,1,78.6666641235352,106.583335876465,52,1,0,0,0,1,0,0,0,0,0,0
-123.497057,41.1169306,1,57.5,111.166664123535,53,1,0,0,0,1,0,0,0,0,0,0
-123.4456015,39.9744234,8,136.58332824707,104.583335876465,55,0,0,0,0,0,0,1,0,0,0,0
-123.4110332,40.2637431,8,100.75,113.166664123535,56,0,0,0,0,0,0,1,0,0,0,0
-123.35512,39.40959,13,122.333335876465,105.083335876465,57,0,0,0,0,0,0,0,0,0,0,1
